

,,Filter Size,Logged,Missed
,,0x40D,368190,4294644215,45109

,,12,1302352,5825
,,0x385,411544,4294600863,45111
,,0x18B,413217,4294599190,45111
,,0x188,409936,4294602471,45111
,,0x18D,413271,4294599134,45109
,,0x18A,410495,4294601912,45111
,,0x189,411065,4294601341,45110
,,0x18C,408982,4294603425,45111
,,0x209,411934,4294600472,45110
,,0x187,386488,4294625915,45107
,,0x18E,410105,4294602302,45111
,,0x207,404484,4294607919,45107
,,0x20B,405685,4294606722,45111
,,0x20D,405659,4294606746,45109
,,0x287,412471,4294599932,45107
,,0x289,412547,4294599859,45110
,,0x28B,412594,4294599813,45111
,,0x28D,412197,4294600208,45109
,,0x307,413220,4294599183,45107
,,0x309,413193,4294599213,45110
,,0x30B,413273,4294599134,45111
,,0x30D,413188,4294599217,45109
,,0x387,413309,4294599094,45107
,,0x389,413371,4294599035,45110
,,0x38B,413388,4294599019,45111
,,0x38D,413386,4294599019,45109
,,0x407,413342,4294599061,45107
,,0x409,413318,4294599088,45110
,,0x40B,413362,4294599045,45111
,,0x40D,413296,4294599109,45109

,,13,1300640,7537
,,0x385,455237,4294557170,45111
,,0x18B,458279,4294554128,45111
,,0x188,453478,4294558929,45111
,,0x18D,458350,4294554055,45109
,,0x18A,454060,4294558347,45111
,,0x189,456133,4294556273,45110
,,0x18C,452490,4294559917,45111
,,0x209,457001,4294555405,45110
,,0x187,431557,4294580846,45107
,,0x18E,453623,4294558784,45111
,,0x207,449570,4294562833,45107
,,0x20B,450782,4294561625,45111
,,0x20D,450756,4294561649,45109
,,0x287,457557,4294554846,45107
,,0x289,457652,4294554754,45110
,,0x28B,457671,4294554736,45111
,,0x28D,457175,4294555230,45109
,,0x307,458324,4294554079,45107
,,0x309,458294,4294554112,45110
,,0x30B,458372,4294554035,45111
,,0x30D,458278,4294554127,45109
,,0x387,458415,4294553988,45107
,,0x389,458477,4294553929,45110
,,0x38B,458497,4294553910,45111
,,0x38D,458494,4294553911,45109
,,0x407,458446,4294553957,45107
,,0x409,458421,4294553985,45110
,,0x40B,458471,4294553936,45111
,,0x40D,458404,4294554001,45109

,,14,1299944,8233
,,0x385,498803,4294513604,45111
,,0x18B,503331,4294509076,45111
,,0x188,496963,4294515444,45111
,,0x18D,503426,4294508979,45109
,,0x18A,497557,4294514850,45111
,,0x189,501201,4294511205,45110
,,0x18C,495971,4294516436,45111
,,0x209,502069,4294510337,45110
,,0x187,476624,4294535779,45107
,,0x18E,497111,4294515296,45111
,,0x207,494635,4294517768,45107
,,0x20B,495870,4294516537,45111
,,0x20D,495854,4294516551,45109
,,0x287,502637,4294509766,45107
,,0x289,502742,4294509664,45110
,,0x28B,502777,4294509630,45111
,,0x28D,502233,4294510172,45109
,,0x307,503423,4294508980,45107
,,0x309,503401,4294509005,45110
,,0x30B,503476,4294508931,45111
,,0x30D,503378,4294509027,45109
,,0x387,503521,4294508882,45107
,,0x389,503582,4294508824,45110
,,0x38B,503607,4294508800,45111
,,0x38D,503603,4294508802,45109
,,0x407,503551,4294508852,45107
,,0x409,503525,4294508881,45110
,,0x40B,503581,4294508826,45111
,,0x40D,503513,4294508892,45109

,,15,1299701,8476
,,0x385,542291,4294470116,45111
,,0x18B,548372,4294464035,45111
,,0x188,540447,4294471960,45111
,,0x18D,548496,4294463909,45109
,,0x18A,541040,4294471367,45111
,,0x189,546271,4294466135,45110
,,0x18C,539452,4294472955,45111
,,0x209,547138,4294465268,45110
,,0x187,521690,4294490713,45107
,,0x18E,540596,4294471811,45111
,,0x207,539702,4294472701,45107
,,0x20B,540947,4294471460,45111
,,0x20D,540943,4294471462,45109
,,0x287,547709,4294464694,45107
,,0x289,547822,4294464584,45110
,,0x28B,547869,4294464538,45111
,,0x28D,547337,4294465068,45109
,,0x307,548523,4294463880,45107
,,0x309,548504,4294463902,45110
,,0x30B,548584,4294463823,45111
,,0x30D,548484,4294463921,45109
,,0x387,548628,4294463775,45107
,,0x389,548689,4294463717,45110
,,0x38B,548718,4294463689,45111
,,0x38D,548712,4294463693,45109
,,0x407,548657,4294463746,45107
,,0x409,548629,4294463777,45110
,,0x40B,548692,4294463715,45111
,,0x40D,548622,4294463783,45109

,,16,1299599,8578
,,0x385,585774,4294426633,45111
,,0x18B,593315,4294419092,45111
,,0x188,583927,4294428480,45111
,,0x18D,593559,4294418846,45109
,,0x18A,584520,4294427887,45111
,,0x189,591339,4294421067,45110
,,0x18C,582932,4294429475,45111
,,0x209,592203,4294420203,45110
,,0x187,566755,4294445648,45107
,,0x18E,584077,4294428330,45111
,,0x207,584766,4294427637,45107
,,0x20B,586021,4294426386,45111
,,0x20D,586023,4294426382,45109
,,0x287,592774,4294419629,45107
,,0x289,592898,4294419508,45110
,,0x28B,592955,4294419452,45111
,,0x28D,592424,4294419981,45109
,,0x307,593605,4294418798,45107
,,0x309,593604,4294418802,45110
,,0x30B,593691,4294418716,45111
,,0x30D,593590,4294418815,45109
,,0x387,593734,4294418669,45107
,,0x389,593797,4294418609,45110
,,0x38B,593827,4294418580,45111
,,0x38D,593820,4294418585,45109
,,0x407,593762,4294418641,45107
,,0x409,593733,4294418673,45110
,,0x40B,593803,4294418604,45111
,,0x40D,593731,4294418674,45109

,,17,1299395,8782
,,0x385,629256,4294383151,45111
,,0x18B,637921,4294374486,45111
,,0x188,627406,4294385001,45111
,,0x18D,638611,4294373794,45109
,,0x18A,628000,4294384407,45111
,,0x189,636397,4294376009,45110
,,0x18C,626410,4294385997,45111
,,0x209,637264,4294375142,45110
,,0x187,611820,4294400583,45107
,,0x18E,627557,4294384850,45111
,,0x207,629829,4294382574,45107
,,0x20B,631091,4294381316,45111
,,0x20D,631100,4294381305,45109
,,0x287,637838,4294374565,45107
,,0x289,637969,4294374437,45110
,,0x28B,638030,4294374377,45111
,,0x28D,637507,4294374898,45109
,,0x307,638667,4294373736,45107
,,0x309,638690,4294373716,45110
,,0x30B,638788,4294373619,45111
,,0x30D,638697,4294373708,45109
,,0x387,638832,4294373571,45107
,,0x389,638905,4294373501,45110
,,0x38B,638935,4294373472,45111
,,0x38D,638929,4294373476,45109
,,0x407,638868,4294373535,45107
,,0x409,638840,4294373566,45110
,,0x40B,638914,4294373493,45111
,,0x40D,638840,4294373565,45109

,,18,1298952,9225
,,0x385,672740,4294339667,45111
,,0x18B,682219,4294330188,45111
,,0x188,670886,4294341521,45111
,,0x18D,683518,4294328887,45109
,,0x18A,671480,4294340927,45111
,,0x189,681448,4294330958,45110
,,0x18C,669890,4294342517,45111
,,0x209,682300,4294330106,45110
,,0x187,656883,4294355520,45107
,,0x18E,671036,4294341371,45111
,,0x207,674891,4294337512,45107
,,0x20B,676159,4294336248,45111
,,0x20D,676175,4294336230,45109
,,0x287,682901,4294329502,45107
,,0x289,683039,4294329367,45110
,,0x28B,683100,4294329307,45111
,,0x28D,682587,4294329818,45109
,,0x307,683729,4294328674,45107
,,0x309,683763,4294328643,45110
,,0x30B,683874,4294328533,45111
,,0x30D,683795,4294328610,45109
,,0x387,683915,4294328488,45107
,,0x389,684012,4294328394,45110
,,0x38B,684040,4294328367,45111
,,0x38D,684037,4294328368,45109
,,0x407,683975,4294328428,45107
,,0x409,683950,4294328456,45110
,,0x40B,684025,4294328382,45111
,,0x40D,683949,4294328456,45109

,,19,1298405,9772
,,0x385,716227,4294296180,45111
,,0x18B,726050,4294286357,45111
,,0x188,714370,4294298037,45111
,,0x18D,728070,4294284335,45109
