

,,Filter Size,Logged,Missed
,,0x709,143729,4294832585,9018
,,0x70B,143729,4294832585,9018
,,0x707,143656,4294832658,9018
,,0x70D,143608,4294832706,9018

,,0x385,559215,4294453192,45111
,,0x18B,562380,4294450027,45111
,,0x188,558936,4294453471,45111
,,0x18D,562274,4294450131,45109
,,0x18A,558662,4294453745,45111
,,0x189,558366,4294454040,45110
,,0x18C,558474,4294453933,45111
,,0x209,561311,4294451095,45110
,,0x187,534109,4294478294,45107
,,0x18E,558447,4294453960,45111
,,0x207,554911,4294457492,45107
,,0x20B,554759,4294457648,45111
,,0x20D,554718,4294457687,45109
,,0x287,561885,4294450518,45107
,,0x289,561961,4294450445,45110
,,0x28B,561935,4294450472,45111
,,0x28D,561493,4294450912,45109
,,0x307,562597,4294449806,45107
,,0x309,562562,4294449844,45110
,,0x30B,562565,4294449842,45111
,,0x30D,562533,4294449872,45109
,,0x387,562648,4294449755,45107
,,0x389,562640,4294449766,45110
,,0x38B,562670,4294449737,45111
,,0x38D,562662,4294449743,45109
,,0x407,562633,4294449770,45107
,,0x409,562608,4294449798,45110
,,0x40B,562426,4294449981,45111
,,0x40D,562496,4294449909,45109
,,0x709,152747,4294823567,9018
,,0x70B,152747,4294823567,9018
,,0x707,152674,4294823640,9018
,,0x70D,152626,4294823688,9018

,,0x385,602707,4294409700,45111
,,0x18B,607445,4294404962,45111
,,0x188,602428,4294409979,45111
,,0x18D,607349,4294405056,45109
,,0x18A,602154,4294410253,45111
,,0x189,603436,4294408970,45110
,,0x18C,601963,4294410444,45111
,,0x209,606380,4294406026,45110
,,0x187,579174,4294433229,45107
,,0x18E,601938,4294410469,45111
,,0x207,599975,4294412428,45107
,,0x20B,599832,4294412575,45111
,,0x20D,599802,4294412603,45109
,,0x287,606949,4294405454,45107
,,0x289,607042,4294405364,45110
,,0x28B,607028,4294405379,45111
,,0x28D,606594,4294405811,45109
,,0x307,607690,4294404713,45107
,,0x309,607671,4294404735,45110
,,0x30B,607673,4294404734,45111
,,0x30D,607639,4294404766,45109
,,0x387,607755,4294404648,45107
,,0x389,607749,4294404657,45110
,,0x38B,607781,4294404626,45111
,,0x38D,607771,4294404634,45109
,,0x407,607739,4294404664,45107
,,0x409,607712,4294404694,45110
,,0x40B,607537,4294404870,45111
,,0x40D,607605,4294404800,45109
,,0x709,161765,4294814549,9018
,,0x70B,161765,4294814549,9018
,,0x707,161692,4294814622,9018
,,0x70D,161644,4294814670,9018

,,0x385,646194,4294366213,45111
,,0x18B,652496,4294359911,45111
,,0x188,645913,4294366494,45111
,,0x18D,652422,4294359983,45109
,,0x18A,645638,4294366769,45111
,,0x189,648506,4294363900,45110
,,0x18C,645446,4294366961,45111
,,0x209,651449,4294360957,45110
,,0x187,624239,4294388164,45107
,,0x18E,645421,4294366986,45111
,,0x207,645039,4294367364,45107
,,0x20B,644903,4294367504,45111
,,0x20D,644882,4294367523,45109
,,0x287,652013,4294360390,45107
,,0x289,652116,4294360290,45110
,,0x28B,652106,4294360301,45111
,,0x28D,651687,4294360718,45109
,,0x307,652761,4294359642,45107
,,0x309,652766,4294359640,45110
,,0x30B,652779,4294359628,45111
,,0x30D,652745,4294359660,45109
,,0x387,652862,4294359541,45107
,,0x389,652857,4294359549,45110
,,0x38B,652891,4294359516,45111
,,0x38D,652879,4294359526,45109
,,0x407,652846,4294359557,45107
,,0x409,652816,4294359590,45110
,,0x40B,652648,4294359759,45111
,,0x40D,652713,4294359692,45109
,,0x709,170783,4294805531,9018
,,0x70B,170783,4294805531,9018
,,0x707,170710,4294805604,9018
,,0x70D,170662,4294805652,9018

,,0x385,689679,4294322728,45111
,,0x18B,697524,4294314883,45111
,,0x188,689396,4294323011,45111
,,0x18D,697491,4294314914,45109
,,0x18A,689120,4294323287,45111
,,0x189,693576,4294318830,45110
,,0x18C,688927,4294323480,45111
,,0x209,696517,4294315889,45110
,,0x187,669304,4294343099,45107
,,0x18E,688902,4294323505,45111
,,0x207,690103,4294322300,45107
,,0x20B,689974,4294322433,45111
,,0x20D,689961,4294322444,45109
,,0x287,697077,4294315326,45107
,,0x289,697186,4294315220,45110
,,0x28B,697177,4294315230,45111
,,0x28D,696769,4294315636,45109
,,0x307,697826,4294314577,45107
,,0x309,697849,4294314557,45110
,,0x30B,697869,4294314538,45111
,,0x30D,697848,4294314557,45109
,,0x387,697961,4294314442,45107
,,0x389,697965,4294314441,45110
,,0x38B,698000,4294314407,45111
,,0x38D,697987,4294314418,45109
,,0x407,697953,4294314450,45107
,,0x409,697925,4294314481,45110
,,0x40B,697759,4294314648,45111
,,0x40D,697821,4294314584,45109
,,0x709,179801,4294796513,9018
,,0x70B,179801,4294796513,9018
,,0x707,179728,4294796586,9018
,,0x70D,179680,4294796634,9018

,,0x385,733165,4294279242,45111
,,0x18B,742475,4294269932,45111
,,0x188,732881,4294279526,45111
,,0x18D,742551,4294269854,45109
,,0x18A,732605,4294279802,45111
,,0x189,738646,4294273760,45110
,,0x18C,732412,4294279995,45111
,,0x209,741584,4294270822,45110
,,0x187,714369,4294298034,45107
,,0x18E,732387,4294280020,45111
,,0x207,735167,4294277236,45107
,,0x20B,735044,4294277363,45111
,,0x20D,735040,4294277365,45109
,,0x287,742142,4294270261,45107
,,0x289,742257,4294270149,45110
,,0x28B,742248,4294270159,45111
,,0x28D,741849,4294270556,45109
,,0x307,742889,4294269514,45107
,,0x309,742920,4294269486,45110
,,0x30B,742944,4294269463,45111
,,0x30D,742941,4294269464,45109
,,0x387,743038,4294269365,45107
,,0x389,743065,4294269341,45110
,,0x38B,743100,4294269307,45111
,,0x38D,743090,4294269315,45109
,,0x407,743060,4294269343,45107
,,0x409,743035,4294269371,45110
,,0x40B,742869,4294269538,45111
,,0x40D,742929,4294269476,45109
,,0x709,188819,4294787495,9018
,,0x70B,188819,4294787495,9018
,,0x707,188746,4294787568,9018
,,0x70D,188698,4294787616,9018

,,0x385,776651,4294235756,45111
,,0x18B,787174,4294225233,45111
,,0x188,776367,4294236040,45111
,,0x18D,787580,4294224825,45109
,,0x18A,776089,4294236318,45111
,,0x189,783709,4294228697,45110
,,0x18C,775896,4294236511,45111
,,0x209,786637,4294225769,45110
,,0x187,759434,4294252969,45107
,,0x18E,775871,4294236536,45111
,,0x207,780230,4294232173,45107
,,0x20B,780114,4294232293,45111
,,0x20D,780117,4294232288,45109
,,0x287,787205,4294225198,45107
,,0x289,787327,4294225079,45110
,,0x28B,787319,4294225088,45111
,,0x28D,786929,4294225476,45109
,,0x307,787952,4294224451,45107
,,0x309,787991,4294224415,45110
,,0x30B,788015,4294224392,45111
,,0x30D,788027,4294224378,45109
,,0x387,788102,4294224301,45107
,,0x389,788153,4294224253,45110
,,0x38B,788194,4294224213,45111
,,0x38D,788187,4294224218,45109
,,0x407,788162,4294224241,45107
,,0x409,788145,4294224261,45110
,,0x40B,787980,4294224427,45111
,,0x40D,788038,4294224367,45109
,,0x709,197837,4294778477,9018
,,0x70B,197837,4294778477,9018
,,0x707,197764,4294778550,9018
,,0x70D,197716,4294778598,9018

,,0x385,820141,4294192266,45111
,,0x18B,831314,4294181093,45111
,,0x188,819857,4294192550,45111
,,0x18D,832499,4294179906,45109
,,0x18A,819579,4294192828,45111
,,0x189,828758,4294183648,45110
,,0x18C,819386,4294193021,45111
,,0x209,831658,4294180748,45110
,,0x187,804499,4294207904,45107
,,0x18E,819361,4294193046,45111
,,0x207,825293,4294187110,45107
,,0x20B,825185,4294187222,45111
,,0x20D,825195,4294187210,45109
,,0x287,832269,4294180134,45107
,,0x289,832396,4294180010,45110
,,0x28B,832392,4294180015,45111
,,0x28D,832011,4294180394,45109
,,0x307,833015,4294179388,45107
,,0x309,833060,4294179346,45110
,,0x30B,833088,4294179319,45111
,,0x30D,833109,4294179296,45109
,,0x387,833166,4294179237,45107
,,0x389,833226,4294179180,45110
,,0x38B,833275,4294179132,45111
,,0x38D,833281,4294179124,45109
,,0x407,833237,4294179166,45107
,,0x409,833248,4294179158,45110
,,0x40B,833087,4294179320,45111
,,0x40D,833146,4294179259,45109
,,0x709,206855,4294769459,9018
,,0x70B,206855,4294769459,9018
,,0x707,206782,4294769532,9018
,,0x70D,206734,4294769580,9018

,,0x385,863680,4294148727,45111
,,0x18B,874629,4294137778,45111
,,0x188,863393,4294149014,45111
,,0x18D,877125,4294135280,45109
,,0x18A,863114,4294149293,45111
,,0x189,873799,4294138607,45110
,,0x18C,862922,4294149485,45111
,,0x209,876642,4294135764,45110
,,0x187,849568,4294162835,45107
,,0x18E,862897,4294149510,45111
,,0x207,870364,4294142039,45107
,,0x20B,870261,4294142146,45111
,,0x20D,870278,4294142127,45109
,,0x287,877351,4294135052,45107
,,0x289,877478,4294134928,45110
,,0x28B,877473,4294134934,45111
,,0x28D,877095,4294135310,45109
,,0x307,878098,4294134305,45107
,,0x309,878140,4294134266,45110
